DISCIPLINA,HORA
Módulo Teórico Comum,180
Fundamentos de Banco de Dados,30
Estatística Descritiva,30
Bancos de Dados Massivos,30
Introdução à Mineração de Dados,30
Modelagem Multidimensional,30
Software Livre para ETL,30
Módulo Específico,180
Administração de Banco de Dados em Big Data,30
Técnicas de Machine Learning para Mineração de Dados,30
Software Livre para ETL em Big Data,30
Mineração de Textos em Mídias Sociais,30
Técnicas de Machine Learning para Mineração em Big Data,30
Implantação de Modelos em Ambiente de Negócios,30
Módulo Científico,70
Metodologia do Trabalho Científico,10
Trabalho de Conclusão de Curso,60
CARGA HORÁRIA TOTAL DO CURSO,430
